# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
adore,愛慕,0.2564
adoring,深情款款,0.2315
adorn,裝,0.6117
adorn,修飾,0.3546
adorn,打扮,0.3213
adorned,絢,0.2413
adorned,縟,0.2301
adrenal,腎上腺,0.2506
adrenal,腎上腺皮質,0.2328
adrenal,腎上腺髓質,0.2244
adrenaline,腎上腺素,0.2560
adriatic,亞得里亞海,0.2251
adriatic,拉文納,0.2210
adriatic,達爾馬提亞,0.2000
ads,徵友,0.2400
adulation,追捧,0.3188
adulation,吹捧,0.3067
adult,大人,0.4755
adult,成人,0.4247
adult,成年,0.3869
adulterer,毐,0.2278
adulterer,奸夫,0.2038
adulterous,姦夫淫婦,0.2283
adulterous,淫行,0.2235
adulterous,曖昧關係,0.2058
adultery,姦,0.2532
adultery,姦情,0.2324
adultery,通姦,0.2324
adulthood,成人,0.4247
adulthood,成年,0.3869
adulthood,啃老,0.2346
adults,大小,0.6295
adults,啃老族,0.2026
adults,成人向,0.2000
advance,進行,0.7696
advance,進,0.6314
advance,促進,0.5251
advanced,高級,0.5999
advanced,先進,0.4408
advanced,進階,0.4403
advancement,晉級,0.2965
advancement,出路,0.3901
advancement,扳龍附鳳,0.2090
advances,出新,0.2521
advances,十六字訣,0.2000
advancing,前仆後繼,0.2314
advancing,推陳佈新,0.2110
advancing,橋頭堡,0.2317
advantage,優勢,0.7035
advantage,優點,0.5973
advantage,好處,0.5811
advantageous,有利,0.3460
advantageous,實惠,0.3117
advantageous,佔便宜,0.2460
advantages,優缺點,0.3630
advantages,利弊,0.2920
advantages,利害,0.2498
advent,到來,0.4540
advent,降臨節,0.2217
advent,耶穌降臨節,0.2094
adventure,冒險,0.4402
adventure,探險,0.2962
adventure,奇遇,0.2460
adventurer,冒險者,0.2373
adventurer,冒險家,0.2328
adventurer,探險者,0.2310
