# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
baauje,鮑耶,0.4584
baauji,包衣,0.4652
baauji,胞衣,0.4567
baauji,包爾,0.4566
baaujoeng,包養,0.48
baaujung,包容,0.5184
baaujyu,鮑魚,0.4798
baaukut,包括,0.5993
baaulaam,包攬,0.4823
baaulaang,爆冷,0.4722
baauleoi,爆雷,0.4634
baaulit,爆裂,0.4754
baauliu,爆料,0.5044
baaumaau,包茅,0.4492
baaumai,苞米,0.4636
baaumui,胞妹,0.4612
baaumun,飽滿,0.5181
baaumun,爆滿,0.4762
baaungaa,齙牙,0.4634
baaunyun,飽暖,0.4624
baaupaang,爆棚,0.4983
baaupei,包皮,0.4841
baaupei,包被,0.4633
baaupiu,包票,0.4576
baaupo,爆破,0.4907
baaupui,包賠,0.46
baausau,飽受,0.4925
baauseng,爆聲,0.4569
baausiu,爆笑,0.487
baausoeng,包廂,0.4803
baausoeng,飽嘗,0.4637
baautaam,包探,0.4463
baautau,包頭,0.4849
baautau,爆頭,0.4816
baauteoi,包退,0.466
baautou,爆肚,0.4637
baauwai,包圍,0.5015
baauwo,飽和,0.5101
baauwun,包換,0.4737
baauzaa,爆炸,0.5355
baauzaan,飽綻,0.4471
baauzaat,包紮,0.4758
baauzan,爆震,0.4632
baauzi,包子,0.5047
baauzi,胞子,0.4514
baauzi,胞姊,0.4513
baauziu,包剿,0.4414
baauzoeng,胞漿,0.4627
baauzoeng,爆漿,0.4386
baauzong,包裝,0.5434
baauzou,包租,0.4655
baauzyu,包住,0.4731
baawan,把穩,0.4576
baawong,霸王,0.4896
baazi,靶子,0.4778
baazi,靶紙,0.4551
baazik,巴唧,0.4458
baazim,霸佔,0.4837
baaziu,芭蕉,0.4733
baazoeng,巴掌,0.486
baazyu,霸主,0.4949
baazyut,罷黜,0.4614
bai,幣,0.2631
bai,閉,0.2411
bai,祕,0.2308
bai,弊,0.2291
bai,泌,0.2247
bai,蓖,0.2212
bai,稗,0.2201
bai,斃,0.2198
bai,粺,0.2196
bai,秘,0.2171
bai,蔽,0.2168
bai,敝,0.215
bai,跛,0.21
bai,薜,0.2081
bai,陛,0.208
bai,狴,0.2067
bai,嬖,0.2065
bai,篦,0.2057
bai,鐾,0.2045
bai,濞,0.2039
bai,埤,0.1999
bai,獙,0.1926
bai,箥,0.1923
bai,閇,0.191
bai,鎞,0.1884
bai,幤,0.1873
bai,坒,0.1868
bai,鷩,0.1867
bai,鄨,0.1827
bai,梐,0.1826
bai,韛,0.1823
bai,獘,0.1814
bai,蜌,0.181
bai,豍,0.1807
bai,螕,0.1797
baibeng,弊病,0.4741
baidyun,弊端,0.509
baigoek,跛腳,0.4618
baigun,閉館,0.4464
baigwok,敝國,0.4562
baihaa,陛下,0.5044
baihei,閉氣,0.462
bailei,敝履,0.4568
baiming,斃命,0.4659
baimok,閉幕,0.4842
baisak,閉塞,0.4754
baisak,蔽塞,0.4533
baisoeng,閉上,0.4842
baiwui,閉會,0.4631
baizi,跛子,0.4611
baizik,幣值,0.4648
bak,北,0.2893
bak,鉳,0.0957
bakau,北歐,0.5091
bakbin,北邊,0.4815
bakbo,北坡,0.4648
bakdau,北斗,0.4884
bakfei,北非,0.4712
bakfong,北方,0.5383
bakfung,北風,0.4772
bakgik,北極,0.4918
bakging,北京,0.5833
bakgoeng,北疆,0.4669
bakgok,北角,0.4528
bakhoi,北海,0.4896
bakhon,北韓,0.4699
